name,cohort_id,cohort_entries,cohort_subjects,database_id
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent pre-existing condition of COVID risk factor,113001251,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,114001251,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with  Prevalent pre-existing condition of COVID risk factor,115001251,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,116001251,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with  Prevalent pre-existing condition of COVID risk factor,126001251,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,127001251,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with  Prevalent pre-existing condition of COVID risk factor,128001251,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,129001251,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent pre-existing condition of COVID risk factor,130001251,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,131001251,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent pre-existing condition of COVID risk factor,132001251,185,185,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,133001251,197,197,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent pre-existing condition of COVID risk factor,134001251,22,22,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,135001251,29,29,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent pre-existing condition of COVID risk factor,136001251,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,137001251,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent pre-existing condition of COVID risk factor,138001251,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,139001251,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent pre-existing condition of COVID risk factor,140001251,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,141001251,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Pregnant women,111001991,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with  Pregnant women,112001991,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Pregnant women,113001991,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with  Pregnant women,114001991,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with  Pregnant women,115001991,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with  Pregnant women,116001991,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with  Pregnant women,126001991,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with  Pregnant women,127001991,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with  Pregnant women,128001991,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with  Pregnant women,129001991,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Pregnant women,130001991,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Pregnant women,131001991,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Pregnant women,132001991,-5,-5,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Pregnant women,133001991,-5,-5,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Pregnant women,134001991,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Pregnant women,135001991,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Pregnant women,136001991,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Pregnant women,137001991,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with  Pregnant women,138001991,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with  Pregnant women,139001991,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with  Pregnant women,140001991,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with  Pregnant women,141001991,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Flu-like symptom episodes,111002001,-5,-5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with  Flu-like symptom episodes,112002001,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Flu-like symptom episodes,113002001,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with  Flu-like symptom episodes,114002001,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with  Flu-like symptom episodes,115002001,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with  Flu-like symptom episodes,116002001,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with  Flu-like symptom episodes,126002001,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with  Flu-like symptom episodes,127002001,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with  Flu-like symptom episodes,128002001,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with  Flu-like symptom episodes,129002001,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Flu-like symptom episodes,130002001,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Flu-like symptom episodes,131002001,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Flu-like symptom episodes,132002001,38,38,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Flu-like symptom episodes,133002001,56,56,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Flu-like symptom episodes,134002001,9,9,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Flu-like symptom episodes,135002001,13,13,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Flu-like symptom episodes,136002001,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Flu-like symptom episodes,137002001,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with  Flu-like symptom episodes,138002001,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with  Flu-like symptom episodes,139002001,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with  Flu-like symptom episodes,140002001,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with  Flu-like symptom episodes,141002001,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent chronic kidney disease broad,111002031,-5,-5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent chronic kidney disease broad,112002031,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent chronic kidney disease broad,113002031,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent chronic kidney disease broad,114002031,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with  Prevalent chronic kidney disease broad,115002031,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with  Prevalent chronic kidney disease broad,116002031,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with  Prevalent chronic kidney disease broad,126002031,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent chronic kidney disease broad,127002031,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with  Prevalent chronic kidney disease broad,128002031,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with  Prevalent chronic kidney disease broad,129002031,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent chronic kidney disease broad,130002031,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent chronic kidney disease broad,131002031,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent chronic kidney disease broad,132002031,151,151,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent chronic kidney disease broad,133002031,156,156,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent chronic kidney disease broad,134002031,14,14,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent chronic kidney disease broad,135002031,15,15,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent chronic kidney disease broad,136002031,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent chronic kidney disease broad,137002031,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent chronic kidney disease broad,138002031,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with  Prevalent chronic kidney disease broad,139002031,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent chronic kidney disease broad,140002031,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with  Prevalent chronic kidney disease broad,141002031,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent end stage renal disease broad,111002041,-5,-5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent end stage renal disease broad,112002041,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent end stage renal disease broad,113002041,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent end stage renal disease broad,114002041,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with  Prevalent end stage renal disease broad,115002041,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with  Prevalent end stage renal disease broad,116002041,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with  Prevalent end stage renal disease broad,126002041,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent end stage renal disease broad,127002041,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with  Prevalent end stage renal disease broad,128002041,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with  Prevalent end stage renal disease broad,129002041,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent end stage renal disease broad,130002041,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent end stage renal disease broad,131002041,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent end stage renal disease broad,132002041,150,150,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent end stage renal disease broad,133002041,155,155,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent end stage renal disease broad,134002041,13,13,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent end stage renal disease broad,135002041,14,14,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent end stage renal disease broad,136002041,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent end stage renal disease broad,137002041,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent end stage renal disease broad,138002041,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with  Prevalent end stage renal disease broad,139002041,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent end stage renal disease broad,140002041,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with  Prevalent end stage renal disease broad,141002041,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection broad,111002051,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent Human immunodeficiency virus infection broad,112002051,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection broad,113002051,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent Human immunodeficiency virus infection broad,114002051,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection broad,115002051,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with  Prevalent Human immunodeficiency virus infection broad,116002051,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection broad,126002051,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent Human immunodeficiency virus infection broad,127002051,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection broad,128002051,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with  Prevalent Human immunodeficiency virus infection broad,129002051,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection broad,130002051,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent Human immunodeficiency virus infection broad,131002051,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection broad,132002051,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent Human immunodeficiency virus infection broad,133002051,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection broad,134002051,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent Human immunodeficiency virus infection broad,135002051,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection broad,136002051,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent Human immunodeficiency virus infection broad,137002051,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection broad,138002051,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with  Prevalent Human immunodeficiency virus infection broad,139002051,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent Human immunodeficiency virus infection broad,140002051,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with  Prevalent Human immunodeficiency virus infection broad,141002051,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent tuberculosis broad,111002061,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent tuberculosis broad,112002061,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with  Prevalent tuberculosis broad,113002061,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with  Prevalent tuberculosis broad,114002061,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with  Prevalent tuberculosis broad,115002061,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with  Prevalent tuberculosis broad,116002061,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with  Prevalent tuberculosis broad,126002061,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent tuberculosis broad,127002061,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with  Prevalent tuberculosis broad,128002061,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with  Prevalent tuberculosis broad,129002061,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent tuberculosis broad,130002061,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent tuberculosis broad,131002061,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent tuberculosis broad,132002061,8,8,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent tuberculosis broad,133002061,11,11,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent tuberculosis broad,134002061,-5,-5,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent tuberculosis broad,135002061,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent tuberculosis broad,136002061,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent tuberculosis broad,137002061,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent tuberculosis broad,138002061,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with  Prevalent tuberculosis broad,139002061,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent tuberculosis broad,140002061,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with  Prevalent tuberculosis broad,141002061,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent Type 2 Diabetes Mellitus,111001002,6,6,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent Type 2 Diabetes Mellitus,112001002,7,7,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent Type 2 Diabetes Mellitus,113001002,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent Type 2 Diabetes Mellitus,114001002,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation without  with  Prevalent Type 2 Diabetes Mellitus,115001002,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation without  with  Prevalent Type 2 Diabetes Mellitus,116001002,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent Type 2 Diabetes Mellitus,126001002,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation without  with  Prevalent Type 2 Diabetes Mellitus,127001002,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent Type 2 Diabetes Mellitus,128001002,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation without  with  Prevalent Type 2 Diabetes Mellitus,129001002,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Type 2 Diabetes Mellitus,130001002,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Type 2 Diabetes Mellitus,131001002,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Type 2 Diabetes Mellitus,132001002,267,267,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Type 2 Diabetes Mellitus,133001002,451,451,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Type 2 Diabetes Mellitus,134001002,17,17,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Type 2 Diabetes Mellitus,135001002,32,32,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Type 2 Diabetes Mellitus,136001002,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Type 2 Diabetes Mellitus,137001002,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Type 2 Diabetes Mellitus,138001002,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Type 2 Diabetes Mellitus,139001002,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent Type 2 Diabetes Mellitus,140001002,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Type 2 Diabetes Mellitus,141001002,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent hypertension,111001012,5,5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent hypertension,112001012,5,5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent hypertension,113001012,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent hypertension,114001012,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation without  with  Prevalent hypertension,115001012,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation without  with  Prevalent hypertension,116001012,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent hypertension,126001012,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation without  with  Prevalent hypertension,127001012,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation without  with  Prevalent hypertension,128001012,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation without  with  Prevalent hypertension,129001012,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent hypertension,130001012,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent hypertension,131001012,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent hypertension,132001012,222,222,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent hypertension,133001012,405,405,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent hypertension,134001012,16,16,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent hypertension,135001012,31,31,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent hypertension,136001012,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent hypertension,137001012,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent hypertension,138001012,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent hypertension,139001012,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent hypertension,140001012,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent hypertension,141001012,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent chronic kidney disease,111001022,5,5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent chronic kidney disease,112001022,6,6,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation without  with  Prevalent chronic kidney disease,113001022,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation without  with  Prevalent chronic kidney disease,114001022,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation without  with  Prevalent chronic kidney disease,115001022,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation without  with  Prevalent chronic kidney disease,116001022,NA,NA,NA
